date,contestant_name,instagram_handle,season,cast_list,followers,following,post_count,is_private,full_name,biography,error
2026-08-28,Jay Vinnedge,wellroundedphysician,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=wellroundedphysician | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fwellroundedphysician%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/wellroundedphysician_selenium.html for inspection
2026-08-28,Joe Vanella,thejoevanella,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=thejoevanella | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fthejoevanella%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/thejoevanella_selenium.html for inspection
2026-08-28,Katie Fites,katie.fites, 5, new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=katie.fites | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fkatie.fites%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/katie.fites_selenium.html for inspection
2026-08-28,Kim Daily,iamkimdaily,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=iamkimdaily | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fiamkimdaily%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/iamkimdaily_selenium.html for inspection
2026-08-28,Kriste Lewis,kr1ste,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=kr1ste | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fkr1ste%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/kr1ste_selenium.html for inspection
2026-08-28,Logan Smith,realtywithsmitty,5,new_blood,,,,,,,html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Frealtywithsmitty%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/realtywithsmitty_selenium.html for inspection
2026-08-28,Madeline Kostopulos,madelinekostopulos,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=madelinekostopulos | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fmadelinekostopulos%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/madelinekostopulos_selenium.html for inspection
2026-08-28,Mark Zgoda,markzgoda,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=markzgoda | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fmarkzgoda%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/markzgoda_selenium.html for inspection
2026-08-28,Michael Foote,dept_of_redundancy_dept,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=dept_of_redundancy_dept | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fdept_of_redundancy_dept%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/dept_of_redundancy_dept_selenium.html for inspection
2026-08-28,Morgan Cook,morganevelyncook,5,new_blood,,,,,,,connection_error (after 3 attempts): JSON Query to api/v1/users/web_profile_info/: 429 Too Many Requests when accessing https://www.instagram.com/api/v1/users/web_profile_info/?username=morganevelyncook | html_fallback failed: 429 Client Error: Too Many Requests for url: https://www.instagram.com/accounts/login/?next=https%3A%2F%2Fwww.instagram.com%2Fmorganevelyncook%2F%3Fhl%3Den&is_from_rle | selenium_fallback failed: [selenium] could not find a description meta tag on the page — raw HTML saved to /home/runner/work/follower-tracker/follower-tracker/data/.debug_html/morganevelyncook_selenium.html for inspection
